MOV001;Film;InceptionInception;2010;148;C. Nolan
MOV002;Film;Le Parrain;1972;175;F. Coppola
MOV003;Film;Pulp Fiction;1994;154;Q. Tarantino
MOV004;Film;Interstellar;2014;169;C. Nolan
MOV005;Film;Parasite;2019;132;B. Joon-ho
MOV006;Film;Matrix;1999;136;L. Wachowski
MOV007;Film;Forrest Gump;1994;142;R. Zemeckis
MOV008;Film;Gladiator;2000;155;R. Scott
MOV009;Film;Titanic;1997;195;J. Cameron
MOV010;Film;Avatar;2009;162;J. Cameron
MOV011;Film;InceptionInception;2010;148;C. Nolan
MOV012;Film;Le Parrain;1972;175;F. Coppola
MOV013;Film;Pulp Fiction;1994;154;Q. Tarantino
MOV014;Film;Interstellar;2014;169;C. Nolan
MOV015;Film;Parasite;2019;132;B. Joon-ho
MOV016;Film;Matrix;1999;136;L. Wachowski
MOV017;Film;Forrest Gump;1994;142;R. Zemeckis
MOV018;Film;Gladiator;2000;155;R. Scott
MOV019;Film;Titanic;1997;195;J. Cameron
MOV020;Film;Avatar;2009;162;J. Cameron
SER001;Serie;Brooklyn Nine-Nine;2013;0;Dan Goor;NULL
EP001;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP002;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP003;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP004;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP005;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP006;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP007;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP008;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP009;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP010;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP011;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP012;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP013;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP014;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP015;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP016;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP017;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP018;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP019;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
EP020;Episode;Brooklyn Nine-Nine 1;2013;20;Michael Schur, Dan Goor;SER001
